points,title,description,taster_name,taster_twitter_handle,taster_photo,price,designation,variety,region_1,region_2,province,country,winery
88,Calcaneus 2017 Ginestra Bianco  (Etna),"Subtle scents of Spanish broom and yellow stone fruit slowly take shape. On the palate, fresh acidity lifts mature yellow apple and lemon zest, while a salty note marks the close. ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,24,Ginestra Bianco,White Blend,Etna,,Sicily & Sardinia,Italy,Calcaneus
88,Casca Wines 2013 Monte Cascas Altitude Sparkling (Távora-Varosa),"This lightly spicy and definitely perfumed wine comes from high-altitude vines planted in an area just south of the Douro and known for its sparkling wines. It is so crisp, bright and fruity with delicious acidity and a fine sweep of freshness at the end. Drink now. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,30,Monte Cascas Altitude,Portuguese Sparkling,,,Távora-Varosa,Portugal,Casca Wines
88,Ceste 2015  Barbaresco,"Aromas of baking spice, tilled soil and ripe dark-skinned fruit lead the nose. The taut palate offers sour cherry, clove and tobacco alongside chewy tannins that grip the finish. Drink after 2022. ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,,,Nebbiolo,Barbaresco,,Piedmont,Italy,Ceste
88,Chateau Lafayette Reneau 2016 Semi-Dry Riesling (Finger Lakes),"Steely lime, fresh apple and white flower aromas start off this semidry offering. A juicy orchard fruit flavor starts off the palate, with astringent green pear rind and lime coming in midway. The finish is brisk and clean. ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,15,Semi-Dry,Riesling,Finger Lakes,Finger Lakes,New York,US,Chateau Lafayette Reneau
88,Château Moncontour 2017 Sec  (Vouvray),"Lightly honeyed and with white fruits, almonds and a touch of minerality, this wine is already delicious. Its freshness and crisp texture are both young and the wine will age. Drink at its best from 2020. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,18,Sec,Chenin Blanc,Vouvray,,Loire Valley,France,Château Moncontour
88,Château Tanunda 2015 100 Year Old Vines Shiraz (Barossa),"Notes of plush berry fruit, vanilla and cherry cola are followed by a palate that feels a little hot from the alcohol and is almost syrupy in texture, with grainy tannins and prominent oak throughout. Drink 2020–2030. ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,150,100 Year Old Vines,Shiraz,Barossa,,South Australia,Australia,Château Tanunda
88,Collier Creek 2017 Crafty Fox Merlot (Lodi),"Red cherry aromas and a creamy texture highlight this medium-bodied, well-priced and certified sustainable wine. It has good concentration to keep your interest and very smooth tannins for easy drinking. ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,10,Crafty Fox,Merlot,Lodi,Central Valley,California,US,Collier Creek
88,D. Massin NV Cuvée de Réserve Brut  (Champagne),"A blend of 75% Pinot Noir and 25% Chardonnay, this is a rich wine. Ripe apple flavors are up front, with gentle acidity to balance. The wine is ready to drink. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,48,Cuvée de Réserve Brut,Champagne Blend,Champagne,,Champagne,France,D. Massin
88,Dante Robere 2015 Petite Sirah (Livermore Valley),"Strong woody aromas like cedar, oak and wood smoke are carried through in the flavors of this big and firmly tannic wine. Oak and baking-spice notes dominate the taste while the full body fills the mouth and releases blueberry and blackberry on the finish. ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,40,,Petite Sirah,Livermore Valley,Central Coast,California,US,Dante Robere
88,Domaine de Bel Air 2017  Pouilly-Fumé,"A smoothly textured wine, this is soft and full of ripe white fruits. Its acidity and grassy character are controlled by the wine's richness. Balanced and finishing with crisp acidity, the wine is ready to drink. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,23,,Sauvignon Blanc,Pouilly-Fumé,,Loire Valley,France,Domaine de Bel Air
