Cars,Price,Mileage
2019 Volkswagen Jetta Highline Auto,"$24,500","Mileage 21,500 km"
2015 Honda Civic Sedan 4dr Auto EX,"$13,999","Mileage 87,000 km"
2012 Buick Regal 4dr Sdn w/1SH,"$13,750","Mileage 27,500 km"
2014 Volkswagen Passat 4dr Sdn 1.8 TSI Auto Highline,"$12,000",Mileage 99 km
2010 Chrysler 300 4dr Sdn Limited AWD,"$10,500","Mileage 89,500 km"
2013 Hyundai Sonata 4dr Sdn 2.4L Auto Limited w/Navi,"$8,500","Mileage 165,000 km"
2014 Kia Optima Hybrid 4dr Sdn EX Premium,"$7,950","Mileage 152,000 km"
2008 Mazda Mazda3 2008 4dr Sdn Man GT -Ltd Avail-,"$2,200","Mileage 269,000 km"
2010 Infiniti G37 4dr Sdn Luxury RWD,"$135,000","Mileage 110,000 km"
2018 Jaguar XJ XJR575 LWB RWD,"$84,999","Mileage 13,998 km"
2019 Lincoln Continental AWD Reserve,"$75,000","Mileage 10,000 km"
2018 Mercedes-Benz C-Class AMG C 63 S Sedan,"$74,500","Mileage 41,000 km"
2013 Jaguar XJ 4dr Sdn XJL Supersport RWD,"$69,900","Mileage 44,600 km"
2017 BMW M3 4dr Sdn,"$66,000","Mileage 37,800 km"
2016 BMW M6 4dr Sdn Gran Coupe,"$65,999","Mileage 45,000 km"
2013 Hyundai Sonata 4dr Sdn 2.0T Auto Limited,"$56,250","Mileage 134,329 km"
2016 Audi A8 4dr Sdn 4.0T,"$56,000","Mileage 60,000 km"
2017 Mercedes-Benz C-Class 4dr Sdn AMG C 43 4MATIC,"$49,900","Mileage 12,000 km"
2016 BMW M3 4dr Sdn,"$49,600","Mileage 79,600 km"
2017 Mercedes-Benz C-Class 4dr Sdn AMG C 43 4MATIC,"$48,500","Mileage 12,000 km"
2014 BMW M6 4dr Sdn Gran Coupe,"$47,000","Mileage 62,000 km"
2018 Audi A6 2.0 TFSI quattro Progressiv tiptronic,"$46,500","Mileage 19,000 km"
2017 Lexus IS 300 4dr Sdn AWD,"$45,000","Mileage 57,574 km"
2017 Audi A4 4dr Sdn Auto Technik quattro,"$45,000","Mileage 50,032 km"
2017 Mercedes-Benz E-Class 4dr Sdn E 300 4MATIC,"$44,000","Mileage 40,000 km"
2018 Mercedes-Benz C-Class C 300 4MATIC Sedan,"$41,000","Mileage 23,500 km"
2018 Lincoln MKZ AWD Reserve,"$40,500","Mileage 25,000 km"
2018 Alfa Romeo Giulia AWD,"$39,500","Mileage 34,000 km"
2019 Genesis G70 2.0T Prestige AWD,"$39,500","Mileage 28,000 km"
2017 Audi S3 4dr Sdn quattro 2.0T Technik,"$38,500","Mileage 51,500 km"
2018 Toyota Camry Hybrid XLE Auto,"$38,000","Mileage 27,000 km"
2018 Toyota Camry XSE V6 Auto,"$37,000","Mileage 58,000 km"
2016 Mercedes-Benz C-Class 4dr Sdn C 450 AMG 4MATIC,"$37,000","Mileage 35,000 km"
2018 Acura TLX SH-AWD Elite A-Spec Sedan,"$36,990","Mileage 6,100 km"
2019 Acura TLX SH-AWD Elite A-Spec Sedan,"$36,500","Mileage 25,000 km"
2018 Subaru WRX Sport Manual,"$36,000","Mileage 15,000 km"
2016 Mercedes-Benz C-Class 4dr Sdn C 450 AMG 4MATIC,"$35,999","Mileage 48,500 km"
2016 Jaguar XJ 4dr Sdn R-Sport AWD,"$35,800","Mileage 67,583 km"
2013 Mercedes-Benz C-Class 4dr Sdn C63 AMG RWD,"$35,000","Mileage 63,000 km"
2016 Mercedes-Benz C-Class 4dr Sdn C 450 AMG 4MATIC,"$35,000","Mileage 84,000 km"
2015 Cadillac CTS 4dr Sdn 3.6L Luxury AWD,"$35,000","Mileage 5,100 km"
2017 Audi A4 4dr Sdn Auto Technik quattro,"$34,899","Mileage 35,212 km"
